spesa,gasto
aiuto,ayudar
ambiente,medio ambiente
animo,ánimo
bestia,bestia
cortile,patio
pelle,cuero
proposta,propuesta
riva,orilla
segretario,secretario
abito,vestido
chiave,clave
corrente,actual
operaio,trabajador
corso,curso
finestra,ventana
piano,plan
bocca,boca
anima,alma
passo,paso
giornata,día
rapporto,relación
stanza,habitación
valore,valor
colpo,tiro
sangue,sangre
spalla,hombro
signorina,joven
ombra,sombra
azione,acción
vento,viento
mattina,mañana
consiglio,consejo
viaggio,viaje
genere,especie
spirito,espíritu
muro,pared
giro,gira
atto,acto
aspetto,apariencia
età,edad
fortuna,suerte
partito,partido
carta,papel
tratto,tramo
settimana,semana
fratello,hermano
realtà,realidad
personaggio,carácter
pomeriggio,tarde
fianco,lado
bambina,niño
domanda,demanda
pianta,planta
pubblico,público
sede,asiento
affare,acuerdo
bene,bien
metà,mitad
fiume,río
lotta,lucha
mercato,mercado
angolo,esquina
compagnia,empresa
labbro,labio
villa,villa
desiderio,deseo
serie,serie
coraggio,coraje
esercito,ejército
padrone,maestro
risposta,respuesta
tavola,mesa
immagine,imagen
fede,fe
pane,pan
seguito,siguiente
estate,verano
onore,honor
pericolo,peligro
scrittore,escritor
collina,colina
zio,tío
difesa,defensa
metro,metro
cura,cuidado
Domenica,domingo
giovanotto,joven
stagione,temporada
croce,cruzar
fiducia,confianza
filo,alambre
folla,multitud
roba,cosas
conoscenza,conocimiento
favore,favorecer
strumento,herramienta
vestito,vestido
giugno,junio
giustizia,justicia
avvocato,abogado
messa,masa
orecchio,oreja
sonno,sueño
congresso,congreso
porto,puerto
calcio,fútbol
ospedale,hospital
pianura,llanura
tavolo,mesa
fame,hambre
latte,leche
merito,mérito
attore,actor
atteggiamento,actitud
concetto,concepto
mestiere,profesión
attesa,espera
bagno,cuarto de baño
foglia,hoja
istante,instantáneo
questo,este
quello,uno
più,más
tutto,todos
suo,su
altro,más
mio,mi
quale,que
tanto,mucho
grande,gran
poco,poco
molto,muy
nostro,nuestro
stesso,mismo
primo,primero
loro,su
ogni,cada
proprio,propio
solo,solamente
quanto,cómo
bello,hermoso
qualche,algunos
nuovo,nuevo
certo,algunos
vero,real
buono,bueno
tuo,su
nessuno,nadie
alcuno,cualquier
italiano,italiano
ultimo,pasado
vecchio,viejo
piccolo,pequeño
troppo,demasiado
tale,tal
giovane,joven
alto,alto
vostro,su
diverso,diferente
meglio,mejor
lungo,a lo largo de
povero,pobre
maggiore,mayor
mezzo,medio
secondo,segundo
lontano,lejos
vicino,cerca
possibile,posible
caro,querido
pieno,completo
nero,negro
particolare,particular
bianco,blanco
forte,fuerte
politico,político
attuale,actual
latino,latín
impossibile,imposible
sereno,sereno
puro,puro
normale,normal
perfetto,perfecto
piano,plan
caratteristico,característico
russo,ruso
continuo,continuo
stupido,estúpido
estremo,extremo
grigio,gris
reale,real
interessante,interesante
medesimo,mismo
religioso,religioso
ampio,grande
biondo,rubio
ufficiale,oficial
attento,cuidadoso
enorme,enorme
sottile,delgado
triste,triste
minimo,mínimo
privato,privado
rapido,rápido
quarto,cuarto
diretto,directo
nobile,noble
parecchio,algunos
pericoloso,peligroso
giallo,amarillo
pazzo,loco
sacro,sagrado
comodo,cómodo
elettrico,eléctrico
assoluto,absoluto
cristiano,cristiano
antico,viejo
rosso,rojo
chiaro,claro
unico,solamente
sicuro,asegurar
importante,importante
vario,variado
giusto,derecho
francese,francés
vivo,vivir
generale,general
ricco,rico
grosso,grande
necessario,necesario
libero,gratis
nazionale,nacional
basso,bajo
semplice,sencillo
grave,grave
pubblico,público
comune,común
freddo,frío
economico,barato
felice,feliz
difficile,difícil
tedesco,alemán
breve,corto
pronto,listo
serio,grave
presente,presente
migliore,mejor
facile,fácil
terzo,tercera
caldo,caliente
estero,extranjero
largo,largo
pricipale,pricipale
verde,verde
romano,romano
umano,humano
inutile,inútil
moderno,moderno
numeroso,numeroso
simile,como
fresco,fresco
militare,militar
americano,americano
vuoto,vacío
ciascuno,cada
tranquillo,tranquilo
contento,feliz
storico,histórico
superiore,mayor
inglese,Inglés
fermo,estacionario
solito,usual
buio,oscuro
strano,extraño
noto,conocido
prossimo,siguiente
profondo,profundo
sociale,social
cattivo,malo
massimo,máximo
intero,completo
uguale,igual
bravo,bueno
brutto,malo
preciso,preciso
qualsiasi,cualquier
improvviso,repentino
famoso,famoso
straniero,extranjero
civile,civil
internazionale,internacional
interno,interna
vasto,extenso
segreto,secreto
greco,griego
naturale,natural
sinistro,izquierda
duro,duro
stanco,cansado
azzurro,azul
recente,reciente
notevole,notable
cittadino,ciudadano
destro,derecho
europeo,europeo
zitto,silencioso
medio,promedio
qualunque,cualquier
straordinario,extraordinario
nudo,desnudo
futuro,futuro
cattolico,católico
capace,capaz
industriale,industrial
personale,personal
centrale,central
tecnico,técnico
dolce,dulce
leggero,luz
morale,moral
utile,útil
contrario,contrario
speciale,especial
peggio,peor
minore,inferior
contadino,granjero
essere,ser
avere,tener
dire,decir
potere,poder
volere,desear
sapere,conocer
stare,quedarse
dovere,deber
vedere,ver
andare,ir
venire,venir
dare,dar
parlare,hablar
trovare,encontrar
sentire,escuchar
lasciare,dejar
prendere,tomar
guardare,mirar
mettere,poner
pensare,pensar
passare,pasar
credere,creer
portare,conducir
parere,pensar
tornare,regreso
sembrare,mirar
tenere,mantener
capire,entender
morire,morir
chiamare,llamada
conoscere,conocer
rimanere,quedarse
chiedere,preguntar
cercare,búsqueda
entrare,entrar
vivere,vivir
aprire,abierto
uscire,salida
ricordare,recordar
bisognare,bisognare
cominciare,empezar
rispondere,respuesta
aspettare,esperar
riuscire,tener éxito
chiudere,cerca
finire,final
arrivare,obtener
scrivere,escribir
diventare,convertirse en
restare,quedarse
seguire,seguir
bastare,baste
perdere,perder
rendere,hacer
correre,corrida
salvare,guardar
vestire,vestido
costruire,construir
camminare,caminar
ritrovare,encontrar
durare,pasado
accendere,conmutador
evitare,evitar
immaginare,imaginar
ridurre,reducir
contenere,contener
fissare,arreglar
costringere,fuerza
abbandonare,dejar
attendere,esperar
preferire,preferir
scegliere,elegir
avvertire,advertir
proporre,proponer
temere,miedo
esprimere,expresar
spingere,empuje
salutare,saludable
udire,escuchar
difendere,defender
dirigere,conducir
cantare,cantar
sorgere,subir
assicurare,asegurar
assumere,tomar
tendere,tramo
dividere,divisoria
scusare,excusa
mantenere,mantener
ritenere,considerar
concludere,concluir
saltare,saltar
stabilire,establecer
appartenere,pertenecer a
possedere,propio
risultare,resultado
suonare,jugar
coprire,cubierta
insegnare,enseñar
affermare,afirmar
rivelare,revelar
conservare,guardar
risolvere,resolver
concedere,conceder
limitare,límite
abitare,vivir
convincere,convencer
comprare,comprar
legare,lazo
sostenere,apoyo
nascere,subir
presentare,presente
trattare,tratar
piacere,placer
continuare,continuar
partire,dejar
servire,servir
giungere,llegar
fermare,detener
apparire,aparecer
amare,amor
esistere,existir
intendere,escuchar
salire,subir
mancare,señorita
ridere,risa
lavorare,trabajo
alzare,elevar
riconoscere,reconocer
sedere,sentarse
leggere,leer
cadere,caer
mangiare,comer
dormire,sueño
raggiungere,llegar
comprendere,entender
scendere,posarse
compiere,hacer
toccare,tocar
considerare,considerar
muovere,movimiento
stringere,apretar
mandare,enviar
domandare,preguntar
ascoltare,escuchar
decidere,decidir
ricevere,recibir
osservare,observar
permettere,permitir
avvenire,ocurrir
spiegare,explicar
raccogliere,reunir
ottenere,obtener
offrire,oferta
mostrare,espectáculo
accompagnare,acompañar
dimenticare,olvidar
pregare,rezar
raccontare,decir
bere,bebida
ritornare,regreso
cambiare,cambio
dimostrare,espectáculo
sperare,esperanza
sposare,casarse
ammettere,admitir
fuggire,huir
liberare,gratis
riferire,informe
svegliare,despertar
capitare,acontecer
posare,lugar
impedire,evitar
gettare,tirar
vendere,vender
distinguere,distinguir
offendere,ofender
rimettere,regreso
rompere,pausa
godere,disfrutar
imporre,imponer
significare,significar
desiderare,desear
divertire,entretener
volgere,turno
giudicare,juez
produrre,producir
avvicinare,enfoque
diffondere,propagación
ordinare,orden
invitare,invitar
discutere,discutir
sbagliare,errar
badare,cuidar
tagliare,cortada
pubblicare,publicar
attaccare,ataque
imparare,aprender
prevedere,prever
scappare,fuga
spegnere,desconectar
annunciare,anunciar
baciare,beso
esporre,exponer
attraversare,cruzar
fornire,suministro
segnare,marca
superare,superar
rivedere,revisión
allontanare,eliminar
ammazzare,matar
accogliere,bienvenida
voltare,turno
preoccupare,preocuparse
provocare,causa
riempire,llenar
partecipare,participar
piantare,planta
rientrare,volver a entrar en
richiedere,solicitud
nascondere,ocultar
ripetere,repetición
scoprire,descubrir
preparare,preparar
scorrere,fluir
rappresentare,representar
riprendere,currículum
costituire,constituir
incontrare,conocer
valere,valer
accorgersi,aviso
provare,intentar
formare,tren
uccidere,matar
tirare,tirar
togliere,eliminar
notare,nota
aggiungere,añadir
succedere,suceder
pagare,pagar
tentare,tientas
accadere,suceder
creare,crear
importare,importación
pesare,ponderar
usare,uso
accettare,aceptar
indicare,indicar
buttare,tirar
battere,batir
interessare,interés
sorridere,sonrisa
condurre,conducir
disporre,tener
unire,unirse
aiutare,ayudar
piangere,grito
girare,disparar
levare,optimista
soffrire,sufrir
recare,causa
riguardare,preocupación
rivolgere,turno
tacere,callar
occorrere,tomar
porre,lugar
vincere,victoria
svolgere,realizar
studiare,estudio
crescere,crecer
divenire,convertirse en
gridare,grito
dichiarare,declarar
contare,contar
giocare,jugar
assistere,ayudar
aumentare,aumentar
lanciare,lanzamiento
determinare,determinar
scherzare,broma
elevare,elevar
promettere,promesa
scomparire,desaparecer
trarre,dibujar
distruggere,destruir
meritare,mérito
dedicare,dedicar
iniziare,comienzo
sorprendere,sorpresa
trasformare,transformar
confessare,confesar
arrestare,detener
ringraziare,agradecer
riunire,reunir
volare,volar
fondare,fundar
guidare,conducir
ferire,daño
opporre,oferta
procedere,proceder
smettere,detener
consentire,permitir
innamorare,enamorarse
organizzare,organizar
rifiutare,rechazar
riportare,informe
dipendere,depender
provvedere,proporcionar
trascinare,arrastrar
fumare,humo
scoppiare,explosión
sognare,soñar
appoggiare,apoyo
armare,brazo
celebrare,celebrar
descrivere,describir
resistere,resistir
bruciare,quemar
colpire,golpear
estendere,ampliar
staccare,eliminar
affrontare,cara
avanzare,avanzar
comporre,componer
escludere,excluir
figurare,aparecer
insistere,insistir
il,la
di,de
e,y
a,para
un,una
in,en
che,que
non,no
si,uno
da,de
lo,la
per,para
con,con
ma,pero
come,cómo
su,en
mi,me
anche,también
o,o
io,yo
se,si
perché,porque
li,ellos
ci,nosotros
ne,cualquier
lei,ella
ancora,más
tu,usted
lui,él
senza,sin
bene,bien
cui,que
chi,que
già,ya
dopo,después
uno,uno
noi,nosotros
dove,donde
qui,aquí
no,no
allora,entonces
tra,entre
vi,usted
ora,ahora
fra,entre
prima,primero
forse,tal vez
sì,sí
sotto,por debajo
voi,usted
fino,hasta
oggi,hoy
quasi,casi
pure,también
egli,él
mentre,mientras
contro,contra
invece,en vez
esso,lo
là,hay
però,sin embargo
né,ni
subito,inmediatamente
verso,para
ciò,lo
ecco,aquí
loro,su
essa,lo
fuori,fuera
meno,menos
adesso,ahora
niente,nada
cioè,es decir
male,malo
nulla,nada
ah,ha
oh,ay
quindi,entonces
appena,justo
insieme,junto
dunque,por lo tanto
dentro,dentro
durante,durante
almeno,por lo menos
secondo,segundo
anzi,más bien
oramai,ahora
oltre,encima
intorno,ronda
sopra,encima
dietro,detrás
davanti,frente
soltanto,solamente
infatti,de hecho
qualcosa,algo
spesso,a menudo
accordo,acuerdo
ieri,ayer
davvero,realmente
lì,hay
qualcuno,alguien
avanti,adelante
assai,muy
presto,pronto
qua,aquí
domani,mañana
circa,sobre
giù,abajo
soprattutto,sobre todo
nemmeno,ni siquiera
grazie,gracias
tuttavia,sin embargo
appunto,justo
neppure,ni
eh,eh
veramente,realmente
tardi,tarde
insomma,en breve
presso,en
intanto,mientras tanto
lungo,a lo largo de
neanche,ni
piuttosto,más bien
stasera,esta noche
perciò,por lo tanto
naturalmente,naturalmente
accanto,siguiente
eppure,"y sin embargo,"
eccetera,etcétera
finalmente,finalmente
infine,finalmente
poiché,porque
comunque,sin embargo
dinanzi,antes
abbastanza,suficiente
peccato,pecado
certamente,ciertamente
coloro,ellos
attorno,sobre
magari,tal vez
oppure,o
inoltre,también
indietro,espalda
addosso,en
addirittura,incluso
finché,hasta
perfino,incluso
affatto,en absoluto
stamattina,esta mañana
completamente,completamente
probabilmente,probablemente
chissà,quien sabe
sino,hasta
ognuno,cada
entro,dentro de